batch: 1200, network_service[batch 0]: [3 5 1 2 6 4 7 4 3 7 8 1 1 1 4 4 5 1 2 8 7 3 6 5]," placement[batch 0]: [11.  5. 12.  1.  1. 12. 12.  1. 11. 11.  2.  2.  0.  0.  0.  0.  9.  0.
  2.  0.  0.  0.  2.  0.]", reward: 6803.90625, lagrangian: 26430.46875, baseline: 2833.631591796875, advantage: 23596.837158203125, penalty: 19626.5625, minibatch_loss: -32850.84375
batch: 1300, network_service[batch 0]: [6 7 8 3 6 5 7 2 2 1 2 4 4 3 6 7 5 1 7 3 4 1 4 7]," placement[batch 0]: [11. 11. 11. 12. 11. 11.  2. 11.  3. 11.  1.  2. 12.  5.  4.  2.  0.  0.
  2.  0.  0.  0.  0.  0.]", reward: 6753.125, lagrangian: 25510.9375, baseline: 3056.79052734375, advantage: 22454.14697265625, penalty: 18757.8125, minibatch_loss: -29961.71484375
batch: 1400, network_service[batch 0]: [3 7 4 7 5 4 6 8 1 7 7 4 5 1 2 3 3 6 5 5 3 6 3 5]," placement[batch 0]: [11. 11. 11. 13. 12. 11. 12. 12.  1. 13. 12.  1.  1.  0.  2.  2.  2.  2.
  2.  0.  0.  0.  0.  0.]", reward: 6775.78125, lagrangian: 24571.09375, baseline: 3274.721435546875, advantage: 21296.372314453125, penalty: 17795.3125, minibatch_loss: -28737.544921875
batch: 1500, network_service[batch 0]: [5 1 3 7 1 5 1 3 7 4 3 6 4 4 2 1 8 1 3 2 4 8 6 2]," placement[batch 0]: [11. 11. 16. 11.  1.  1. 19. 12. 16.  1.  3.  2. 10.  2.  0.  0.  0.  0.
  2.  0.  0.  0.  0.  0.]", reward: 6725.78125, lagrangian: 22961.71875, baseline: 3486.656005859375, advantage: 19475.062744140625, penalty: 16235.9375, minibatch_loss: -22487.39453125
batch: 1600, network_service[batch 0]: [1 8 8 4 4 8 1 1 6 6 7 1 1 8 6 1 5 8 8 2 6 6 4 2]," placement[batch 0]: [ 2. 11. 11. 11. 11. 12. 11.  1.  1.  1. 12.  1.  1. 13.  1.  2.  2.  2.
  2.  0.  0.  2.  2.  0.]", reward: 6696.875, lagrangian: 21503.125, baseline: 3688.2060546875, advantage: 17814.9189453125, penalty: 14806.25, minibatch_loss: -20463.103515625
batch: 1700, network_service[batch 0]: [3 7 8 6 1 4 6 5 8 2 1 7 5 5 1 1 2 7 8 7 5 3 2 2]," placement[batch 0]: [11. 11. 11. 11. 12. 12. 12. 12. 12. 12.  1. 13.  2.  1.  3. 10.  2.  2.
  0.  0.  0.  0.  0.  0.]", reward: 6743.75, lagrangian: 20551.5625, baseline: 3882.820068359375, advantage: 16668.742431640625, penalty: 13807.8125, minibatch_loss: -17801.859375
batch: 1800, network_service[batch 0]: [8 2 6 4 5 2 1 5 7 1 4 6 2 6 5 6 5 1 6 7 1 2 1 1]," placement[batch 0]: [11. 11. 13. 11. 12. 12. 12.  3. 12.  1.  1.  1.  1.  1. 12. 11.  2.  3.
  3.  2.  0.  1.  2. 11.]", reward: 6728.90625, lagrangian: 19452.34375, baseline: 4072.135986328125, advantage: 15380.207763671875, penalty: 12723.4375, minibatch_loss: -16628.2109375
batch: 1900, network_service[batch 0]: [1 5 1 6 3 3 5 2 1 7 7 8 5 8 2 3 5 8 1 1 8 1 4 2]," placement[batch 0]: [11. 11. 11. 12. 12. 12. 12. 12.  1. 12.  1.  1.  1.  3.  3.  2.  2.  0.
  2.  2.  2.  0.  0.  0.]", reward: 6723.4375, lagrangian: 19073.4375, baseline: 4254.82470703125, advantage: 14818.61279296875, penalty: 12350.0, minibatch_loss: -15966.1826171875
batch: 2000, network_service[batch 0]: [1 5 7 5 6 8 1 3 2 4 8 6 8 1 7 5 7 1 2 7 1 4 2 5]," placement[batch 0]: [11. 11. 11. 11. 11. 11. 12. 12. 12. 13.  1.  1.  1.  2.  2.  2.  3.  0.
  2.  0.  2.  2.  0.  0.]", reward: 6728.90625, lagrangian: 18607.03125, baseline: 4437.484375, advantage: 14169.546875, penalty: 11878.125, minibatch_loss: -13756.4501953125
batch: 2100, network_service[batch 0]: [4 1 8 1 1 1 1 3 8 6 7 3 2 5 4 8 7 3 1 8 7 1 3 2]," placement[batch 0]: [11. 11. 11. 13. 12. 12. 12. 12. 12. 12.  1.  1.  1.  9.  2. 11.  3.  3.
  0.  0.  2.  0.  0.  0.]", reward: 6728.90625, lagrangian: 17877.34375, baseline: 4619.94091796875, advantage: 13257.40283203125, penalty: 11148.4375, minibatch_loss: -11981.7412109375
