batch: 1100, network_service[batch 0]: [3 1 6 1 8 8 6 5 3 1 2 7 5 6 1 4 2 4 1 7 4 1 6 6 2 2 6 1]," placement[batch 0]: [ 8. 12. 11. 12. 12. 12.  4. 12. 13. 11. 12. 11.  0.  2. 12. 10.  0.  2.
  0.  2.  0.  2.  2. 10.  0.  0.  2. 10.]", reward: 7850.78125, lagrangian: 31972.65625, baseline: 2772.266845703125, advantage: 29200.389404296875, penalty: 24121.875, minibatch_loss: -46088.453125
batch: 1200, network_service[batch 0]: [7 7 6 2 6 3 3 8 3 4 5 3 6 3 8 4 2 8 1 2 6 1 2 8 7 8 6 8]," placement[batch 0]: [12. 12. 11. 13. 12. 18. 12. 12. 12.  8. 12. 11. 12. 10.  2. 10.  0.  0.
 10.  0.  0.  2.  2. 10. 10.  2. 10.  0.]", reward: 7785.9375, lagrangian: 31309.375, baseline: 3009.744873046875, advantage: 28299.630126953125, penalty: 23523.4375, minibatch_loss: -43690.4609375
batch: 1300, network_service[batch 0]: [4 6 4 4 8 2 4 4 2 1 5 5 1 4 4 3 3 7 7 7 7 5 7 6 4 4 3 2]," placement[batch 0]: [13. 12. 11. 11. 14. 12. 11. 12. 12. 12. 12. 12.  0. 10.  0.  0.  0. 11.
  2. 10.  0.  2.  2.  3.  0. 11. 10. 10.]", reward: 7777.34375, lagrangian: 29917.96875, baseline: 3247.152587890625, advantage: 26670.816162109375, penalty: 22140.625, minibatch_loss: -37893.328125
batch: 1400, network_service[batch 0]: [3 2 2 2 6 1 7 2 2 3 5 1 3 7 7 2 1 1 5 5 2 1 4 1 6 3 5 5]," placement[batch 0]: [13. 13. 13. 13. 12. 12. 14. 12. 12. 12. 12.  9. 13.  0. 10. 10. 10. 10.
  2.  2. 12.  2.  0. 10. 11.  0.  2. 10.]", reward: 7852.34375, lagrangian: 30094.53125, baseline: 3482.8916015625, advantage: 26611.6396484375, penalty: 22242.1875, minibatch_loss: -37506.71875
batch: 1500, network_service[batch 0]: [1 7 2 5 1 8 7 1 5 3 1 1 4 7 2 3 8 2 8 1 4 8 5 5 7 2 1 7]," placement[batch 0]: [ 1. 13. 13. 13. 12. 12. 12. 12. 12. 11. 11. 12. 10.  0.  0. 11.  0.  2.
  1. 10. 10.  0. 11. 10.  0.  0. 10.  2.]", reward: 7798.4375, lagrangian: 27720.3125, baseline: 3714.0341796875, advantage: 24006.2783203125, penalty: 19921.875, minibatch_loss: -33822.640625
batch: 1600, network_service[batch 0]: [8 2 8 3 3 3 5 4 8 5 1 1 8 1 8 8 7 5 7 3 8 2 8 2 4 5 7 5]," placement[batch 0]: [13. 12. 13. 13. 12. 12. 12. 12. 12. 12. 11. 10. 11. 11.  2.  0.  0.  1.
  2. 10.  2.  0.  0. 10.  0. 11.  2.  2.]", reward: 7724.21875, lagrangian: 26405.46875, baseline: 3936.605224609375, advantage: 22468.863525390625, penalty: 18681.25, minibatch_loss: -29434.576171875
batch: 1700, network_service[batch 0]: [5 4 3 1 2 6 1 8 3 3 5 1 3 1 2 2 8 2 1 8 3 5 8 1 5 2 4 1]," placement[batch 0]: [13. 13. 13. 13. 13. 12. 12. 12. 12. 12. 12. 11. 11. 10. 13.  9. 10.  0.
  0.  0.  2.  0.  0. 12. 10.  0. 10.  0.]", reward: 7795.3125, lagrangian: 26459.375, baseline: 4156.0869140625, advantage: 22303.2880859375, penalty: 18664.0625, minibatch_loss: -27393.560546875
batch: 1800, network_service[batch 0]: [7 8 5 3 1 8 4 3 1 1 4 6 7 8 8 1 6 4 6 8 3 4 2 8 5 7 2 8]," placement[batch 0]: [13. 13. 13. 13. 14. 12. 12. 12. 12. 12. 11.  6. 11. 11. 11.  2. 10.  0.
 10. 10. 10. 10.  2.  0.  0.  0.  0.  2.]", reward: 7778.90625, lagrangian: 25182.03125, baseline: 4374.0693359375, advantage: 20807.9619140625, penalty: 17403.125, minibatch_loss: -25238.70703125
batch: 1900, network_service[batch 0]: [1 6 2 2 3 7 8 5 1 8 4 4 5 3 3 6 4 4 8 8 3 5 3 5 5 6 3 7]," placement[batch 0]: [13. 13. 13. 13. 13. 12. 12. 12. 12. 12. 12.  1. 11.  6.  0.  0. 10.  0.
  0.  0. 10. 10.  2. 10.  0.  0.  0.  0.]", reward: 7725.0, lagrangian: 24592.1875, baseline: 4591.8955078125, advantage: 20000.2919921875, penalty: 16867.1875, minibatch_loss: -23115.1640625
batch: 2000, network_service[batch 0]: [6 2 7 8 4 8 6 3 4 4 4 1 4 8 2 8 6 2 6 2 3 3 4 5 8 1 6 3]," placement[batch 0]: [13. 13. 13. 13. 13. 12. 12. 12.  4. 12. 12. 11. 11. 11. 10.  0.  1. 10.
  2.  2. 11.  0. 10.  2. 10.  2.  0.  0.]", reward: 7818.75, lagrangian: 24921.875, baseline: 4814.2255859375, advantage: 20107.6494140625, penalty: 17103.125, minibatch_loss: -24011.4140625
