batch: 1200, network_service[batch 0]: [3 7 7 4 8 2 1 6 5 1 8 8 2 5 4 2 4 7 6 5 2 1 3 8]," placement[batch 0]: [12. 12. 12. 12. 12.  2. 12. 12. 12.  1.  1.  2.  1. 10.  1. 10. 10.  0.
 13. 10.  2. 10.  1.  0.]", reward: 6717.96875, lagrangian: 22374.21875, baseline: 3393.409912109375, advantage: 18980.808837890625, penalty: 15656.25, minibatch_loss: -27261.283203125
batch: 1300, network_service[batch 0]: [6 8 2 4 7 1 7 4 3 3 3 7 5 5 8 5 3 4 1 1 6 7 4 4]," placement[batch 0]: [12. 12. 12. 12.  2.  7.  2. 10.  1. 10.  1. 12. 10. 10.  1.  0.  1.  1.
 10.  0.  0.  1. 10. 10.]", reward: 6723.4375, lagrangian: 22212.5, baseline: 3655.598388671875, advantage: 18556.901611328125, penalty: 15489.0625, minibatch_loss: -25641.05859375
batch: 1400, network_service[batch 0]: [7 6 1 3 5 4 2 2 7 3 7 1 2 5 6 1 3 1 8 1 6 6 8 4]," placement[batch 0]: [12. 12. 12. 11.  2. 12. 12.  2.  1.  0. 13.  1. 10.  0.  1.  1.  0.  1.
 10. 10. 10. 10. 10. 10.]", reward: 6742.96875, lagrangian: 21657.03125, baseline: 3911.143798828125, advantage: 17745.887451171875, penalty: 14914.0625, minibatch_loss: -23714.9453125
batch: 1500, network_service[batch 0]: [3 2 8 2 5 5 3 2 2 1 3 7 1 5 2 1 6 5 4 6 8 8 5 8]," placement[batch 0]: [12. 12. 12. 12.  2.  2.  2.  1.  2.  0. 17.  2.  1. 10. 10.  2.  0.  0.
  0.  0.  0. 11. 10.  0.]", reward: 6766.40625, lagrangian: 20583.59375, baseline: 4161.05908203125, advantage: 16422.53466796875, penalty: 13817.1875, minibatch_loss: -19438.09765625
batch: 1600, network_service[batch 0]: [4 4 6 2 5 2 3 6 3 4 4 4 5 4 4 4 7 3 2 5 8 5 1 8]," placement[batch 0]: [ 2. 12. 12. 12.  2. 12.  2.  2.  1. 10.  2.  1.  1. 10.  0. 10. 10.  0.
  0. 10.  0.  2. 10.  7.]", reward: 6632.03125, lagrangian: 19607.03125, baseline: 4401.9853515625, advantage: 15205.0458984375, penalty: 12975.0, minibatch_loss: -18028.919921875
batch: 1700, network_service[batch 0]: [8 4 6 2 6 4 1 8 1 7 3 7 4 2 1 5 2 2 8 3 3 6 8 1]," placement[batch 0]: [12. 12. 12. 12. 12.  2.  2.  2.  1.  2.  1. 10.  1.  0.  0.  0. 10. 11.
 10. 10. 10.  0.  0. 11.]", reward: 6651.5625, lagrangian: 19425.0, baseline: 4642.70361328125, advantage: 14782.29638671875, penalty: 12773.4375, minibatch_loss: -16721.22265625
batch: 1800, network_service[batch 0]: [8 3 3 2 6 5 7 2 1 2 5 3 1 6 3 5 1 6 6 8 3 6 5 6]," placement[batch 0]: [ 7. 12. 12. 12.  2. 16.  2.  2.  2. 10.  1.  1.  1.  1.  1.  1.  0. 10.
 10. 10.  0.  0. 10. 10.]", reward: 6573.4375, lagrangian: 18195.3125, baseline: 4883.2607421875, advantage: 13312.0517578125, penalty: 11621.875, minibatch_loss: -14133.072265625
batch: 1900, network_service[batch 0]: [7 7 7 8 4 4 6 7 1 2 7 5 2 7 1 5 4 3 6 2 4 8 2 1]," placement[batch 0]: [12. 12. 12. 15. 12.  2.  2.  2.  1.  2.  1.  0.  1.  1.  1.  0.  0.  0.
 10.  0.  0.  1. 10.  0.]", reward: 6748.4375, lagrangian: 18893.75, baseline: 5120.3330078125, advantage: 13773.4169921875, penalty: 12145.3125, minibatch_loss: -14869.939453125
batch: 2000, network_service[batch 0]: [4 1 3 3 3 5 4 6 6 8 8 2 3 4 7 7 5 1 4 5 1 8 7 8]," placement[batch 0]: [12. 12.  5. 12.  2.  2. 10.  2.  2.  4.  1.  1.  0.  0. 11. 10.  0. 10.
  0.  0.  0.  0. 10. 11.]", reward: 6661.71875, lagrangian: 18275.78125, baseline: 5359.0341796875, advantage: 12916.7470703125, penalty: 11614.0625, minibatch_loss: -13581.94921875
batch: 2100, network_service[batch 0]: [3 5 3 1 7 6 3 7 7 1 3 7 1 2 4 8 3 6 3 7 2 7 2 8]," placement[batch 0]: [12. 12. 12. 12.  2. 17. 11.  2.  2.  2.  1.  1.  1.  1.  1.  0. 10.  0.
 10.  0.  0.  0. 14. 10.]", reward: 6718.75, lagrangian: 18470.3125, baseline: 5595.8779296875, advantage: 12874.4345703125, penalty: 11751.5625, minibatch_loss: -13934.779296875
