batch: 1200, network_service[batch 0]: [1 3 3 8 3 6 3 5 6 2 2 1 3 1 8 2 2 2 2 3 1 4 8 1]," placement[batch 0]: [10. 10. 10. 10. 10. 10.  1.  1.  2.  1.  0.  1. 12.  0.  0. 12.  0.  0.
  0.  2.  2. 12. 12.  2.]", reward: 6697.65625, lagrangian: 21360.15625, baseline: 3495.347412109375, advantage: 17864.808837890625, penalty: 14662.5, minibatch_loss: -22490.01171875
batch: 1300, network_service[batch 0]: [1 2 3 7 1 5 3 6 8 8 5 3 6 1 3 6 6 2 2 8 8 2 1 4]," placement[batch 0]: [10. 10. 10.  1. 10. 10.  1.  1.  1.  1.  2.  0.  0. 11.  0. 12.  0.  1.
  0. 12.  2. 13. 12. 12.]", reward: 6712.5, lagrangian: 21673.4375, baseline: 3767.456787109375, advantage: 17905.980712890625, penalty: 14960.9375, minibatch_loss: -23018.048828125
batch: 1400, network_service[batch 0]: [5 8 6 5 2 4 8 6 8 1 1 6 5 3 5 5 2 5 5 8 4 8 8 3]," placement[batch 0]: [10. 10. 10. 10. 10. 10.  5.  1.  1.  1.  1.  0.  1. 19.  0.  0.  0. 12.
  2.  2. 12. 12. 12. 12.]", reward: 6664.0625, lagrangian: 21321.875, baseline: 4040.784912109375, advantage: 17281.090087890625, penalty: 14657.8125, minibatch_loss: -20276.26953125
batch: 1500, network_service[batch 0]: [7 1 1 8 6 8 6 8 1 1 2 6 3 6 1 2 7 3 1 1 4 6 6 8]," placement[batch 0]: [10. 10. 10. 10. 10. 10. 10.  1.  1.  1.  7.  2. 12.  0. 12. 12. 12.  0.
  0. 12. 12.  0.  2.  2.]", reward: 6817.96875, lagrangian: 19900.78125, baseline: 4314.1806640625, advantage: 15586.6005859375, penalty: 13082.8125, minibatch_loss: -19605.68359375
batch: 1600, network_service[batch 0]: [6 5 7 2 6 7 4 8 5 7 6 3 1 1 2 1 2 3 7 2 6 1 7 3]," placement[batch 0]: [11. 11. 11. 11. 10. 10. 10. 10. 13.  1.  1.  1.  1.  0. 13. 12.  0. 12.
 12. 12. 12. 12.  0.  2.]", reward: 6844.53125, lagrangian: 18113.28125, baseline: 4576.49658203125, advantage: 13536.78466796875, penalty: 11268.75, minibatch_loss: -17064.556640625
batch: 1700, network_service[batch 0]: [8 7 4 7 5 8 1 5 8 8 3 2 5 8 3 8 1 4 5 8 5 4 8 8]," placement[batch 0]: [11. 10. 11. 11. 11. 10. 10. 10.  1.  1.  1.  0.  1.  0.  0. 12.  0. 12.
  2.  0.  2.  0.  2.  2.]", reward: 6795.3125, lagrangian: 17201.5625, baseline: 4814.07763671875, advantage: 12387.48486328125, penalty: 10406.25, minibatch_loss: -14853.306640625
batch: 1800, network_service[batch 0]: [5 3 4 5 3 6 6 5 8 6 1 6 1 2 5 4 8 4 4 7 1 4 8 6]," placement[batch 0]: [11. 15. 11. 11. 10. 10. 10. 10. 10.  1.  5.  1.  1.  1. 12.  0. 12. 15.
  0. 12.  0. 12.  0.  2.]", reward: 6825.78125, lagrangian: 16388.28125, baseline: 5038.55712890625, advantage: 11349.72412109375, penalty: 9562.5, minibatch_loss: -12195.30859375
batch: 1900, network_service[batch 0]: [6 8 8 5 1 5 3 6 8 1 5 7 1 7 1 3 5 5 4 5 4 2 4 1]," placement[batch 0]: [11. 11. 11. 11. 10. 10. 10. 10. 10. 10.  1.  1.  1.  1.  2. 12.  0. 12.
 12.  2.  2.  0. 12. 12.]", reward: 6728.90625, lagrangian: 15871.09375, baseline: 5258.21044921875, advantage: 10612.88330078125, penalty: 9142.1875, minibatch_loss: -10227.658203125
batch: 2000, network_service[batch 0]: [2 2 1 5 1 2 5 8 8 1 7 4 7 8 2 6 4 3 8 2 4 2 8 3]," placement[batch 0]: [11. 11. 11. 11. 10. 11. 10. 10.  1.  1.  1.  1.  0.  0.  0.  0.  0.  0.
  0.  2.  2. 12.  0. 13.]", reward: 6777.34375, lagrangian: 15580.46875, baseline: 5473.76318359375, advantage: 10106.70556640625, penalty: 8803.125, minibatch_loss: -9716.2978515625
batch: 2100, network_service[batch 0]: [3 7 7 3 5 6 5 6 4 4 2 5 4 5 6 7 8 5 7 5 5 7 4 7]," placement[batch 0]: [11. 10. 11. 11. 10. 10. 10. 10. 10. 10.  1.  1.  7.  0.  1.  0. 12. 12.
  2. 12. 12. 12. 12. 12.]", reward: 6744.53125, lagrangian: 15224.21875, baseline: 5687.9970703125, advantage: 9536.2216796875, penalty: 8479.6875, minibatch_loss: -8970.59765625
