batch: 0, network_service[batch 0]: [1 8 1 2 2 2 5 3 1 1 1 6 1 2 1 3 1 1 6 8]," placement[batch 0]: [13.  0.  6. 17.  5. 10. 18.  1. 18.  4. 14.  4. 18. 10. 16. 11.  5. 14.
  1.  0.]", reward: 7080.46875, lagrangian: 59360.15625, baseline: 0.0653451532125473, advantage: 59360.09090484679, penalty: 52279.6875, minibatch_loss: -177824.1875
batch: 100, network_service[batch 0]: [1 5 4 4 5 7 6 6 8 8 8 6 5 7 3 1 1 4 4 8]," placement[batch 0]: [ 2.  2. 15.  3. 17. 13. 12. 17. 16. 13. 17.  9.  7. 19. 19. 16.  3.  4.
  2. 17.]", reward: 7053.90625, lagrangian: 57550.78125, baseline: 502.9028625488281, advantage: 57047.87838745117, penalty: 50496.875, minibatch_loss: -170580.71875
batch: 200, network_service[batch 0]: [5 1 3 1 4 8 7 5 1 1 4 2 1 5 7 2 7 8 2 5]," placement[batch 0]: [11.  0.  2. 10.  1.  0. 11.  0. 12. 12.  0. 10.  4.  2.  4.  2. 16.  2.
 10.  2.]", reward: 6257.03125, lagrangian: 25841.40625, baseline: 900.013427734375, advantage: 24941.392822265625, penalty: 19584.375, minibatch_loss: -59236.8125
batch: 300, network_service[batch 0]: [4 2 1 7 4 8 4 4 8 1 6 7 6 6 3 7 3 3 2 2]," placement[batch 0]: [ 0.  0.  7.  0.  0.  3. 10.  0.  0. 10.  3.  0. 12.  5.  0.  0. 10.  0.
  0. 10.]", reward: 5753.125, lagrangian: 20968.75, baseline: 1143.5302734375, advantage: 19825.2197265625, penalty: 15215.625, minibatch_loss: -39857.5390625
batch: 400, network_service[batch 0]: [2 6 3 6 3 7 5 5 6 8 8 8 8 6 2 4 1 1 5 8]," placement[batch 0]: [10. 10. 10. 10. 12. 12.  1. 10.  1. 12.  0.  0.  2.  3. 10.  0. 12. 10.
  2. 10.]", reward: 5803.90625, lagrangian: 21397.65625, baseline: 1397.3006591796875, advantage: 20000.355590820312, penalty: 15593.75, minibatch_loss: -37826.5390625
batch: 500, network_service[batch 0]: [5 8 7 7 3 5 5 4 2 6 7 4 7 8 2 5 2 4 4 7]," placement[batch 0]: [13. 14. 12. 10.  0.  1. 10.  0. 12.  3.  3. 14. 10. 10.  2. 12. 10. 12.
  0. 12.]", reward: 5723.4375, lagrangian: 20946.875, baseline: 1672.6055908203125, advantage: 19274.269409179688, penalty: 15223.4375, minibatch_loss: -36335.30859375
batch: 600, network_service[batch 0]: [8 7 4 7 1 2 1 5 7 6 1 6 5 2 8 5 5 2 3 6]," placement[batch 0]: [19. 13.  0. 12.  2.  0.  2. 10. 10.  2. 10.  0.  2.  2. 10. 10. 10. 10.
 10.  7.]", reward: 5673.4375, lagrangian: 19929.6875, baseline: 1962.8238525390625, advantage: 17966.863647460938, penalty: 14256.25, minibatch_loss: -32804.4375
batch: 700, network_service[batch 0]: [1 6 4 5 2 3 3 7 4 1 2 7 6 5 4 1 1 1 8 8]," placement[batch 0]: [ 0.  0.  4.  2.  2.  0.  0. 10. 12.  0. 10. 10.  0. 10. 12. 10. 10. 12.
 10. 10.]", reward: 5789.0625, lagrangian: 19651.5625, baseline: 2259.118896484375, advantage: 17392.443603515625, penalty: 13862.5, minibatch_loss: -30395.0546875
batch: 800, network_service[batch 0]: [1 8 8 1 3 7 7 2 5 6 3 6 5 4 8 5 6 1 7 6]," placement[batch 0]: [ 8.  3.  0.  0. 17.  0. 12. 14.  0.  1.  2.  2. 10. 12. 10. 10. 12. 10.
  2. 10.]", reward: 5735.9375, lagrangian: 18260.9375, baseline: 2556.39697265625, advantage: 15704.54052734375, penalty: 12525.0, minibatch_loss: -26766.05859375
batch: 900, network_service[batch 0]: [4 7 8 4 8 8 2 5 5 5 2 3 3 2 2 3 7 7 7 1]," placement[batch 0]: [ 0.  0.  3.  0. 12.  0.  2.  0.  0.  1.  0. 12. 12. 12. 10.  2.  9. 12.
  2.  2.]", reward: 5848.4375, lagrangian: 18976.5625, baseline: 2848.377685546875, advantage: 16128.184814453125, penalty: 13128.125, minibatch_loss: -24931.171875
batch: 1000, network_service[batch 0]: [8 3 7 1 5 3 8 7 2 6 8 6 2 3 7 4 7 4 8 4]," placement[batch 0]: [18.  3.  7.  0.  3.  0.  0.  0.  0.  0. 11. 10. 10. 12. 10. 12. 12. 10.
 12. 12.]", reward: 5801.5625, lagrangian: 16906.25, baseline: 3140.432373046875, advantage: 13765.817626953125, penalty: 11104.6875, minibatch_loss: -21426.2734375
batch: 1100, network_service[batch 0]: [2 7 3 7 2 4 3 4 5 2 1 5 4 2 1 6 5 6 6 1]," placement[batch 0]: [ 3. 13.  0.  0.  3.  0.  0.  0.  2.  2. 10. 10. 10. 10. 10. 10.  2.  2.
  2.  0.]", reward: 5792.1875, lagrangian: 16626.5625, baseline: 3432.468505859375, advantage: 13194.093994140625, penalty: 10834.375, minibatch_loss: -20800.33984375
batch: 1200, network_service[batch 0]: [2 2 3 1 3 7 3 5 3 7 3 1 5 4 3 4 2 2 8 1]," placement[batch 0]: [13. 13.  3.  0.  0.  0.  0.  0.  0. 10. 10. 17. 12. 10.  1. 10.  1. 10.
 10.  2.]", reward: 5892.1875, lagrangian: 17104.6875, baseline: 3722.0517578125, advantage: 13382.6357421875, penalty: 11212.5, minibatch_loss: -20158.548828125
