batch: 1100, network_service[batch 0]: [6 6 3 6 7 5 7 2 3 8 8 2 6 6 1 5 5 6 4 2 2 3 3 8 2 1 1 5 7 5]," placement[batch 0]: [10. 10. 10. 10. 10. 10.  1.  1.  1.  1. 11. 11. 11. 11. 11. 13. 12. 12.
  0. 12.  0.  0.  0.  2.  0.  0.  0.  2.  2.  2.]", reward: 8307.8125, lagrangian: 23550.0, baseline: 5272.5927734375, advantage: 18277.4072265625, penalty: 15242.1875, minibatch_loss: -13533.767578125
batch: 1200, network_service[batch 0]: [7 6 8 8 7 2 1 7 8 2 6 8 3 1 2 6 6 7 8 1 4 2 2 4 5 7 1 2 1 1]," placement[batch 0]: [10. 10. 10. 10. 10.  3.  1.  1.  1.  1. 11. 19. 12. 11. 13.  3. 14. 12.
 12. 12. 12. 12.  0.  0.  0.  2.  2.  2.  2.  2.]", reward: 8374.21875, lagrangian: 22003.90625, baseline: 5647.25732421875, advantage: 16356.64892578125, penalty: 13629.6875, minibatch_loss: -12908.779296875
batch: 1300, network_service[batch 0]: [4 2 5 8 8 6 2 1 6 4 8 8 3 8 5 2 6 2 8 8 2 4 7 1 3 6 5 6 2 6]," placement[batch 0]: [10. 10. 10. 10.  3. 10.  3.  1.  1.  1.  1. 11. 13. 13. 11. 12. 12. 12.
 13. 12.  0.  0.  2.  0.  2.  2.  2.  2.  2.  2.]", reward: 8436.71875, lagrangian: 22194.53125, baseline: 6029.27099609375, advantage: 16165.26025390625, penalty: 13757.8125, minibatch_loss: -12978.732421875
batch: 1400, network_service[batch 0]: [5 4 4 5 3 6 5 4 6 2 6 7 5 2 4 6 2 5 7 3 7 6 3 3 4 1 6 7 1 6]," placement[batch 0]: [10. 10. 10. 10. 10. 10.  3.  3.  1.  1.  1.  1. 11. 11. 11.  1. 11. 13.
 12. 12. 12. 12.  0.  0.  0.  2.  0.  2.  2.  2.]", reward: 8332.8125, lagrangian: 20879.6875, baseline: 6400.44580078125, advantage: 14479.24169921875, penalty: 12546.875, minibatch_loss: -9705.888671875
batch: 1500, network_service[batch 0]: [6 2 6 2 7 7 4 8 2 8 8 2 4 5 8 5 7 3 1 1 6 5 4 8 8 7 1 2 6 3]," placement[batch 0]: [10. 10. 10. 10. 10.  3.  3.  3.  1.  1.  1.  1. 11. 11. 11. 11. 11. 13.
 13. 12. 12. 12. 12. 12.  0.  0.  0.  0.  2.  2.]", reward: 8399.21875, lagrangian: 20089.84375, baseline: 6760.216796875, advantage: 13329.626953125, penalty: 11690.625, minibatch_loss: -8495.296875
batch: 1600, network_service[batch 0]: [4 5 1 8 4 1 2 1 1 3 4 3 3 7 3 8 7 1 1 6 1 5 7 1 7 5 1 4 6 5]," placement[batch 0]: [10. 10. 10. 10.  3.  3.  3.  1.  1.  1.  1. 11. 11. 11. 11. 11. 13. 11.
 13. 12. 12. 12.  0.  0.  0.  0.  0.  2.  2.  2.]", reward: 8336.71875, lagrangian: 19061.71875, baseline: 7089.17236328125, advantage: 11972.54638671875, penalty: 10725.0, minibatch_loss: -6913.837890625
batch: 1700, network_service[batch 0]: [7 4 8 6 7 6 7 7 5 6 2 2 4 7 3 2 5 8 3 6 5 5 4 4 4 7 8 7 2 4]," placement[batch 0]: [10. 10. 10. 10.  3.  3.  3.  3.  1. 11.  1.  1.  1.  1. 11. 11. 11. 13.
 13. 13. 13. 12. 12.  0.  0.  0.  2.  2.  2.  2.]", reward: 8339.0625, lagrangian: 18340.625, baseline: 7415.166015625, advantage: 10925.458984375, penalty: 10001.5625, minibatch_loss: -5473.6240234375
batch: 1800, network_service[batch 0]: [2 1 4 4 5 5 1 1 7 6 5 6 6 3 3 1 8 6 5 8 4 6 3 1 6 6 7 5 1 4]," placement[batch 0]: [10. 10. 10. 10.  3.  3.  3. 11.  1.  1.  1. 11. 11. 11. 11. 11. 13. 12.
 12. 12. 12. 12.  0.  0.  0.  0.  2.  2.  2.  2.]", reward: 8415.625, lagrangian: 17776.5625, baseline: 7753.48486328125, advantage: 10023.07763671875, penalty: 9360.9375, minibatch_loss: -4523.5791015625
batch: 1900, network_service[batch 0]: [4 3 1 5 8 2 5 1 5 3 4 7 5 7 5 4 4 5 7 5 4 3 8 3 5 6 7 5 2 8]," placement[batch 0]: [10. 10. 10. 10. 10.  3.  3.  1.  1.  1.  1.  1. 11. 13. 11. 13. 11. 13.
 13. 13. 13. 13. 12. 12. 12. 12.  0.  0.  0.  0.]", reward: 8172.65625, lagrangian: 21958.59375, baseline: 8066.06982421875, advantage: 13892.52392578125, penalty: 13785.9375, minibatch_loss: -5908.376953125
batch: 2000, network_service[batch 0]: [5 4 6 1 1 4 5 2 3 8 2 2 3 3 2 1 8 6 5 6 4 2 3 3 5 2 6 8 6 4]," placement[batch 0]: [10. 10. 10. 10. 10.  3.  3.  1.  1.  1.  1.  1.  1. 11. 11. 11. 11. 13.
 13. 13. 12. 16. 12. 12.  0.  0.  0.  2.  2.  2.]", reward: 8436.71875, lagrangian: 17999.21875, baseline: 8393.7646484375, advantage: 9605.4541015625, penalty: 9562.5, minibatch_loss: -3501.44970703125
