batch: 1200, network_service[batch 0]: [8 4 7 8 3 1 5 8 6 6 2 8 4 5 3 6 4 6 3 5 1 1 7 3]," placement[batch 0]: [ 0. 10. 10. 10. 10. 10. 10. 10.  0. 10.  4.  0. 11.  0. 14.  0.  0.  0.
 12.  0.  0.  0.  2.  2.]", reward: 6946.875, lagrangian: 24964.0625, baseline: 3652.683837890625, advantage: 21311.378662109375, penalty: 18017.1875, minibatch_loss: -35389.125
batch: 1300, network_service[batch 0]: [7 5 8 1 6 3 7 4 6 2 7 1 4 4 4 7 7 8 2 5 8 1 8 8]," placement[batch 0]: [13.  6.  1.  5.  1. 10. 10. 12. 10. 10. 10. 12.  0.  0. 11.  9.  0.  2.
  2.  2.  0.  2.  0.  2.]", reward: 7014.0625, lagrangian: 23875.0, baseline: 3931.471923828125, advantage: 19943.528076171875, penalty: 16860.9375, minibatch_loss: -31559.265625
batch: 1400, network_service[batch 0]: [2 3 2 1 7 5 6 5 6 2 1 3 2 3 2 5 1 8 5 1 7 4 8 7]," placement[batch 0]: [11.  1. 11. 11. 11. 12. 10. 10. 10. 10. 10. 11. 13. 13.  2. 12.  0.  2.
  0. 13.  0.  2. 10.  0.]", reward: 6835.9375, lagrangian: 20673.4375, baseline: 4196.49658203125, advantage: 16476.94091796875, penalty: 13837.5, minibatch_loss: -24445.37109375
batch: 1500, network_service[batch 0]: [7 2 6 3 7 4 7 5 4 7 8 3 5 8 4 8 8 2 6 8 7 3 1 8]," placement[batch 0]: [11.  9. 11. 10. 11. 10. 10. 10. 10. 10. 10. 10. 10. 12. 12.  0.  2. 11.
  2.  2.  0.  0.  2.  2.]", reward: 6803.90625, lagrangian: 20255.46875, baseline: 4439.05517578125, advantage: 15816.41357421875, penalty: 13451.5625, minibatch_loss: -20615.3671875
batch: 1600, network_service[batch 0]: [3 8 4 1 8 7 6 5 4 3 8 7 4 2 4 1 7 6 8 3 2 7 3 4]," placement[batch 0]: [11. 11. 11. 11. 11. 10. 10. 10. 10. 13. 10. 12. 12. 12.  0.  0. 12.  0.
  0.  2.  2. 13.  2.  0.]", reward: 6764.84375, lagrangian: 19664.84375, baseline: 4678.6259765625, advantage: 14986.2177734375, penalty: 12900.0, minibatch_loss: -18582.0390625
batch: 1700, network_service[batch 0]: [2 4 1 7 7 5 6 6 6 7 1 8 3 6 8 8 3 3 6 6 3 6 5 3]," placement[batch 0]: [ 1. 11. 11. 11. 11. 10. 10. 10. 10. 10. 12. 12. 12. 12. 12. 16.  2.  0.
  2.  2.  2.  2.  2.  2.]", reward: 6716.40625, lagrangian: 18610.15625, baseline: 4916.8544921875, advantage: 13693.3017578125, penalty: 11893.75, minibatch_loss: -16035.8623046875
batch: 1800, network_service[batch 0]: [5 8 7 7 7 7 7 7 3 6 5 6 2 1 8 1 4 4 3 4 1 1 4 6]," placement[batch 0]: [15. 19. 11. 11. 13. 10. 10. 10. 10. 10. 10.  2.  0. 12.  0. 12.  0.  0.
  0.  2.  0.  2.  0.  2.]", reward: 6867.1875, lagrangian: 18951.5625, baseline: 5151.5693359375, advantage: 13799.9931640625, penalty: 12084.375, minibatch_loss: -16792.16015625
batch: 1900, network_service[batch 0]: [3 6 4 5 4 5 5 4 4 5 7 8 1 5 3 4 3 3 1 7 3 3 6 4]," placement[batch 0]: [11.  1. 11. 11. 11. 10. 10. 10. 12.  4. 12.  0. 12. 12.  0.  0.  0.  2.
  0.  2.  2. 13.  2.  0.]", reward: 6741.40625, lagrangian: 17482.03125, baseline: 5389.640625, advantage: 12092.390625, penalty: 10740.625, minibatch_loss: -14498.783203125
batch: 2000, network_service[batch 0]: [4 3 5 8 7 2 2 1 5 3 8 8 8 3 4 7 7 5 7 2 3 1 5 4]," placement[batch 0]: [11.  3. 11. 11. 11. 13. 10. 10. 10.  4. 12. 12. 12.  0. 12.  0.  2.  0.
  2. 12.  0.  2.  2.  0.]", reward: 6803.125, lagrangian: 17417.1875, baseline: 5626.28173828125, advantage: 11790.90576171875, penalty: 10614.0625, minibatch_loss: -13478.7978515625
batch: 2100, network_service[batch 0]: [5 4 3 7 7 7 5 7 1 7 3 8 3 1 3 4 8 8 1 8 8 2 4 4]," placement[batch 0]: [11. 11. 11. 11. 11. 10. 10. 10. 10. 10. 10.  2.  0. 13. 12.  0.  2.  2.
  0.  2.  0.  0.  2.  2.]", reward: 6854.6875, lagrangian: 17798.4375, baseline: 5859.30517578125, advantage: 11939.13232421875, penalty: 10943.75, minibatch_loss: -13665.6474609375
