batch: 0, network_service[batch 0]: [6 4 8 8 4 8 6 7 1 4 8 8 4 6 6 2 7 4 4 6]," placement[batch 0]: [ 9.  2.  5.  2. 15. 18.  5.  4.  6. 13.  1. 19. 18. 14.  5. 10. 18.  4.
  9. 16.]", reward: 7074.21875, lagrangian: 61727.34375, baseline: -0.0006798680406063795, advantage: 61727.34442986804, penalty: 54653.125, minibatch_loss: -184915.625
batch: 100, network_service[batch 0]: [5 3 3 6 4 3 4 2 2 8 7 6 1 1 2 7 3 3 1 1]," placement[batch 0]: [12.  0. 16.  7.  7.  7.  7.  4. 16.  8.  0.  2.  0. 16. 13. 12. 13. 12.
 19. 13.]", reward: 7103.125, lagrangian: 57160.9375, baseline: 314.27264404296875, advantage: 56846.66485595703, penalty: 50057.8125, minibatch_loss: -170194.78125
batch: 200, network_service[batch 0]: [6 7 4 7 1 7 1 6 5 5 1 2 3 8 8 6 8 7 7 5]," placement[batch 0]: [ 8. 10.  0. 12.  0.  2.  2.  8.  3. 12. 13.  2. 12.  2.  0. 12.  0.  4.
  6.  7.]", reward: 6401.5625, lagrangian: 32137.5, baseline: 583.6410522460938, advantage: 31553.858947753906, penalty: 25735.9375, minibatch_loss: -78226.296875
batch: 300, network_service[batch 0]: [8 2 3 5 8 5 1 6 3 4 2 2 1 8 6 6 5 4 8 2]," placement[batch 0]: [ 3.  2.  9.  0. 12.  0.  0.  0.  0. 12. 10. 12.  2.  2.  0.  0. 12.  0.
  0.  0.]", reward: 5864.0625, lagrangian: 24342.1875, baseline: 749.5477905273438, advantage: 23592.639709472656, penalty: 18478.125, minibatch_loss: -46375.53125
batch: 400, network_service[batch 0]: [4 5 3 5 1 3 4 3 2 8 5 1 5 3 4 7 7 3 7 2]," placement[batch 0]: [16.  0. 18.  0.  1. 10. 10. 12.  2.  0. 10.  2.  0.  2.  0. 10.  2. 12.
  0.  2.]", reward: 5930.46875, lagrangian: 21357.03125, baseline: 912.0420532226562, advantage: 20444.989196777344, penalty: 15426.5625, minibatch_loss: -41219.15234375
batch: 500, network_service[batch 0]: [2 8 7 6 2 8 8 6 1 5 4 6 1 3 1 7 3 1 5 7]," placement[batch 0]: [10.  0. 10. 10. 10.  1. 12. 12. 12.  2.  0.  2.  0.  2. 12. 12.  2. 13.
 12.  0.]", reward: 5828.125, lagrangian: 19243.75, baseline: 1075.01171875, advantage: 18168.73828125, penalty: 13415.625, minibatch_loss: -34549.328125
batch: 600, network_service[batch 0]: [4 6 1 5 2 5 2 4 2 6 1 2 2 5 8 5 3 7 7 1]," placement[batch 0]: [ 2. 10. 10.  0. 10. 10.  0. 12. 15. 15. 12. 10.  0.  2. 12. 12. 12.  0.
 10. 12.]", reward: 5792.96875, lagrangian: 18791.40625, baseline: 1240.184326171875, advantage: 17551.221923828125, penalty: 12998.4375, minibatch_loss: -31079.80078125
batch: 700, network_service[batch 0]: [3 1 3 5 8 6 8 6 1 1 7 1 8 8 4 1 3 3 6 1]," placement[batch 0]: [ 8. 10. 10.  0.  0.  1.  0.  0.  0. 10. 12. 12.  2.  2.  0.  2.  2.  2.
 12. 12.]", reward: 5789.84375, lagrangian: 17616.40625, baseline: 1406.3048095703125, advantage: 16210.101440429688, penalty: 11826.5625, minibatch_loss: -26804.623046875
batch: 800, network_service[batch 0]: [8 7 4 8 1 1 8 5 4 6 3 3 6 1 4 3 5 4 2 6]," placement[batch 0]: [10.  0. 10.  0. 10. 10.  1.  1. 10.  0.  0.  0.  2.  2. 12.  0. 12. 12.
  2.  2.]", reward: 5763.28125, lagrangian: 15660.15625, baseline: 1571.0858154296875, advantage: 14089.070434570312, penalty: 9896.875, minibatch_loss: -21402.95703125
batch: 900, network_service[batch 0]: [1 3 8 1 6 8 6 8 6 4 2 8 2 7 8 7 3 3 3 6]," placement[batch 0]: [10. 10. 10.  4.  5. 10.  1.  1.  1. 10.  0.  0.  2.  0. 12.  2.  2. 14.
 12.  1.]", reward: 5815.625, lagrangian: 14901.5625, baseline: 1730.5704345703125, advantage: 13170.992065429688, penalty: 9085.9375, minibatch_loss: -18443.689453125
batch: 1000, network_service[batch 0]: [7 5 5 2 3 7 6 8 7 3 7 7 6 4 4 7 8 2 4 2]," placement[batch 0]: [10. 10. 13. 10.  1. 10.  0.  3.  0.  6. 11.  0. 10.  2. 12. 12.  0.  2.
 12.  2.]", reward: 5692.96875, lagrangian: 14049.21875, baseline: 1885.2713623046875, advantage: 12163.947387695312, penalty: 8356.25, minibatch_loss: -15464.80859375
batch: 1100, network_service[batch 0]: [5 2 1 5 5 3 8 5 6 7 3 1 1 1 7 7 8 1 7 8]," placement[batch 0]: [10. 10. 11. 10.  1.  1.  1.  1. 13.  0.  0. 12.  0.  0.  0. 12. 12. 12.
  2.  2.]", reward: 5717.96875, lagrangian: 13478.90625, baseline: 2035.8712158203125, advantage: 11443.035034179688, penalty: 7760.9375, minibatch_loss: -13240.58203125
batch: 1200, network_service[batch 0]: [1 7 7 8 5 2 7 6 2 8 1 4 3 7 8 6 2 4 3 5]," placement[batch 0]: [10. 10. 10. 10.  4.  1. 10.  1.  0.  0. 12. 10.  0. 12.  2. 12.  2. 12.
  2.  2.]", reward: 5592.1875, lagrangian: 12890.625, baseline: 2186.80859375, advantage: 10703.81640625, penalty: 7298.4375, minibatch_loss: -11584.5126953125
